Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Cumulative Return no_cost,Cumulative Return with_cost,Number of Trades no_cost,Number of Trades with_cost,Test Avg Return no_cost,Test Avg Return with_cost,Test Sharpe no_cost,Test Sharpe with_cost,Turnover no_cost,Turnover with_cost,Sharpe Cost Drag,Avg Return Cost Drag,Cumulative Return Cost Drag
BTC,LightGBM,ML,ohlc_raw,ohlc,raw,long_only,0.0855698797248221,-0.0198837137779821,292.0,292.0,0.0004423431635039,0.0001690811314184,0.1743714802383116,0.0669081700342821,292.0,292.0,0.1074633102040295,0.00027326203208550003,0.1054535935028042
BTC,LightGBM,ML,ohlc_raw,ohlc,raw,long_short,0.2278936675508907,-0.6673658901385586,3689.0,3689.0,0.0001019021037009,-0.0001927778079988,0.0214933596092346,-0.0406562168999246,3729.0,3729.0,0.0621495765091592,0.0002946799116997,0.8952595576894493
BTC,LightGBM,ML,ohlc_raw,ohlc,raw,short_only,0.1311051370199603,-0.6606165192230121,3438.0,3438.0,7.126568494101295e-05,-0.0002184359512476,0.0145731469824701,-0.0446624331604682,3437.0,3437.0,0.0592355801429383,0.000289701636188613,0.7917216562429724
BTC,Logistic Regression,ML,candle_extended,candle,extended,long_only,0.5560895254934182,0.1573650463426856,846.0,846.0,0.0008474696202368,0.0005738097311425,0.1095635927959323,0.0741809540242801,846.0,846.0,0.035382638771652195,0.0002736598890942999,0.39872447915073256
BTC,Logistic Regression,ML,candle_extended,candle,extended,long_short,0.5745855618630993,0.1645854533920157,858.0,858.0,0.0008537211704362,0.0005774053809625,0.1110562153397383,0.075108024022687,862.0,862.0,0.035948191317051306,0.0002763157894737,0.4100001084710836
BTC,Logistic Regression,ML,candle_extended,candle,extended,short_only,0.2884585093783038,-0.2578556256008321,1576.0,1576.0,0.0002022011548842,-1.077181808877099e-05,0.0561630279062055,-0.0029862790410219,1576.0,1576.0,0.0591493069472274,0.00021297297297297098,0.5463141349791358
BTC,Logistic Regression,ML,candle_raw,candle,raw,long_only,0.2843773748318468,0.0360386958988001,614.0,614.0,0.0007010858192389,0.0004168265599797,0.0794317800018899,0.047221148145452,614.0,614.0,0.032210631856437896,0.00028425925925919997,0.24833867893304667
BTC,Logistic Regression,ML,candle_raw,candle,raw,long_short,0.7257323734017331,0.2402520971070703,937.0,937.0,0.0008967917572932,0.0006327760092617,0.1038520572624329,0.0732391064801823,944.0,944.0,0.03061295078225061,0.00026401574803150006,0.48548027629466284
BTC,Logistic Regression,ML,candle_raw,candle,raw,short_only,0.5897262096966176,-0.501298900905637,3312.0,3312.0,0.0001024964678411,-1.815299094319275e-05,0.0295896226586033,-0.0052385158182643,3312.0,3312.0,0.0348281384768676,0.00012064945878429275,1.0910251106022546
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_only,0.0992159288458753,-0.0563235805564862,436.0,436.0,0.0003749761313986,9.446142551627762e-05,0.0507890488737998,0.0128206934293272,436.0,436.0,0.0379683554444726,0.00028051470588232237,0.1555395094023615
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_short,0.1327328964757255,-0.1421180836686482,793.0,793.0,0.0002195759643626,-1.4541682696183304e-05,0.0486806596347242,-0.0032216318526561,794.0,794.0,0.0519022914873803,0.0002341176470587833,0.2748509801443737
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,short_only,0.1192145972786817,-0.1452072609957727,770.0,770.0,0.0002021245341368,-2.900754133479861e-05,0.0476606404749518,-0.0068342677797464,770.0,770.0,0.054494908254698195,0.0002311320754715986,0.2644218582744544
BTC,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_only,0.1756057739201961,0.007838622217382,440.0,440.0,0.0006744993136065,0.0003701514875195,0.0806692418807881,0.0442774143163031,440.0,440.0,0.036391827564484995,0.00030434782608699997,0.16776715170281412
BTC,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_short,0.6195086393014291,-0.4660283265490877,3104.0,3104.0,0.0002300286769612,-2.991284350660794e-05,0.0449102464385632,-0.005841688593445,3170.0,3170.0,0.0507519350320082,0.00025994152046780793,1.0855369658505167
